geoid,name,B01003001,"B01003001, Error"
86000US10467,"10467",98713,3929
86000US10468,"10468",81397,3732
86000US10469,"10469",71862,3122
86000US10470,"10470",15390,966
86000US10471,"10471",22888,1499
86000US10472,"10472",65283,2415
86000US10473,"10473",60087,2488
86000US10474,"10474",11280,1344
86000US10475,"10475",43517,3448
86000US10501,"10501",1416,545
86000US10502,"10502",5745,247
86000US10503,"10503",94,55
86000US10504,"10504",8047,500
86000US10505,"10505",1132,266
86000US10506,"10506",6340,692
86000US10507,"10507",6403,762
86000US10509,"10509",19832,881
86000US10510,"10510",10435,604
86000US10511,"10511",2281,365
86000US10512,"10512",24256,890
86000US10514,"10514",12867,1135
86000US10516,"10516",5585,411
86000US10517,"10517",417,162
86000US10518,"10518",830,318
86000US10519,"10519",122,197
86000US10520,"10520",12662,506
86000US10522,"10522",11508,51
86000US10523,"10523",9389,552
86000US10524,"10524",4344,382
86000US10526,"10526",1939,406
86000US10527,"10527",608,204
86000US10528,"10528",13352,1080
86000US10530,"10530",14090,1247
86000US10532,"10532",5040,445
86000US10533,"10533",7388,298
86000US10535,"10535",214,194
86000US10536,"10536",10797,1080
86000US10537,"10537",2961,598
86000US10538,"10538",17605,551
86000US10540,"10540",114,18
86000US10541,"10541",26116,903
86000US10542,"10542",0,13
86000US10543,"10543",21281,560
86000US10545,"10545",203,168
86000US10546,"10546",1022,337
86000US10547,"10547",7665,1109
86000US10548,"10548",4446,696
86000US10549,"10549",15800,923
86000US10550,"10550",40073,1474
86000US10552,"10552",22099,1560
86000US10553,"10553",10526,1430
86000US10560,"10560",4975,205
86000US10562,"10562",33538,884
86000US10566,"10566",25401,46
86000US10567,"10567",20069,950
86000US10570,"10570",13168,635
86000US10573,"10573",41139,79
86000US10576,"10576",4927,278
86000US10577,"10577",6145,542
86000US10578,"10578",1788,1168
86000US10579,"10579",8171,538
86000US10580,"10580",18077,325
86000US10583,"10583",41107,1618
86000US10588,"10588",3296,817
86000US10589,"10589",7159,770
86000US10590,"10590",7407,491
86000US10591,"10591",23912,615
86000US10594,"10594",5565,800
86000US10595,"10595",7213,577
86000US10596,"10596",796,296
86000US10597,"10597",642,244
86000US10598,"10598",29066,1083
86000US10601,"10601",11193,804
86000US10603,"10603",19239,1686
86000US10604,"10604",11799,1326
86000US10605,"10605",19800,1291
86000US10606,"10606",16429,1529
86000US10607,"10607",6764,922
86000US10701,"10701",68032,2916
86000US10703,"10703",23565,2257
86000US10704,"10704",32438,1844
86000US10705,"10705",38861,2626
86000US10706,"10706",9068,338
86000US10707,"10707",10209,493
86000US10708,"10708",22595,1355
86000US10709,"10709",10085,766
86000US10710,"10710",26099,1981
86000US10801,"10801",41724,1735
86000US10803,"10803",13283,374
86000US10804,"10804",15036,1148
86000US10805,"10805",20736,1616
86000US10901,"10901",25498,1217
86000US10910,"10910",0,13
86000US10911,"10911",12,18
86000US10913,"10913",5286,540
86000US10914,"10914",384,296
86000US10915,"10915",0,13
86000US10916,"10916",4445,447
86000US10917,"10917",1969,485
86000US10918,"10918",12152,835
86000US10919,"10919",1256,460
86000US10920,"10920",8605,908
86000US10921,"10921",4268,343
86000US10922,"10922",1289,425
86000US10923,"10923",8419,747
86000US10924,"10924",13965,392
86000US10925,"10925",4466,391
86000US10926,"10926",3909,556
86000US10927,"10927",12286,103
86000US10928,"10928",5208,495
86000US10930,"10930",10326,719
86000US10931,"10931",1131,309
86000US10932,"10932",43,48
86000US10933,"10933",401,245
86000US10940,"10940",51853,1228
86000US10941,"10941",14502,871
86000US10950,"10950",63011,1258
86000US10952,"10952",47509,2238
86000US10953,"10953",0,13
86000US10954,"10954",27587,1835
86000US10956,"10956",30738,1564
86000US10958,"10958",2925,411
86000US10960,"10960",14222,744
86000US10962,"10962",5125,722
86000US10963,"10963",4347,349
86000US10964,"10964",1525,388
86000US10965,"10965",15666,1169
86000US10968,"10968",2474,393
86000US10969,"10969",999,339
86000US10970,"10970",11571,889
86000US10973,"10973",2388,419
86000US10974,"10974",3335,145
86000US10975,"10975",246,197
86000US10976,"10976",2056,365
86000US10977,"10977",70555,2386
86000US10979,"10979",0,13
86000US10980,"10980",13702,462
86000US10983,"10983",5670,638
86000US10984,"10984",3079,525
86000US10985,"10985",42,46
86000US10986,"10986",1529,438
86000US10987,"10987",3809,196
86000US10988,"10988",683,265
86000US10989,"10989",8651,1145
86000US10990,"10990",20527,780
86000US10992,"10992",10284,949
86000US10993,"10993",4738,610
86000US10994,"10994",6357,889
86000US10996,"10996",6386,469
86000US10998,"10998",3548,376
86000US11001,"11001",26138,962
86000US11003,"11003",47515,2521
86000US11004,"11004",15702,1660
86000US11005,"11005",2175,395
86000US11010,"11010",25751,1885
86000US11020,"11020",6145,851
86000US11021,"11021",19623,795
86000US11023,"11023",9699,1081
86000US11024,"11024",9105,942
86000US11030,"11030",17168,1029
86000US11040,"11040",42140,1839
86000US11042,"11042",317,8
86000US11050,"11050",31920,1320
86000US11096,"11096",9567,1378
86000US11101,"11101",34279,1987
86000US11102,"11102",27069,1511
86000US11103,"11103",34752,1636
86000US11104,"11104",26939,1725
86000US11105,"11105",38756,1845
86000US11106,"11106",40198,2320
86000US11109,"11109",7280,1336
86000US11201,"11201",69755,2608
86000US11203,"11203",78506,2674
86000US11204,"11204",80575,3431
86000US11205,"11205",50319,2405
86000US11206,"11206",89949,3787
86000US11207,"11207",96801,3579
86000US11208,"11208",108180,4765
86000US11209,"11209",71812,2099
86000US11210,"11210",63426,2543
86000US11211,"11211",65511,3000
86000US11212,"11212",84006,4268
86000US11213,"11213",69131,2761
86000US11214,"11214",90796,3329
86000US11215,"11215",72014,2662
86000US11216,"11216",62373,2591
86000US11217,"11217",43045,1831
86000US11218,"11218",73318,3415
86000US11219,"11219",92283,3961
86000US11220,"11220",93008,4021
86000US11221,"11221",91236,4062
86000US11222,"11222",40137,1540
86000US11223,"11223",80113,3288
86000US11224,"11224",47893,2183
86000US11225,"11225",58476,3018
86000US11226,"11226",101053,4193
86000US11228,"11228",44196,2179
86000US11229,"11229",81109,2814
86000US11230,"11230",90245,2834
86000US11231,"11231",38829,2393
86000US11232,"11232",28137,1833
86000US11233,"11233",83125,3181
86000US11234,"11234",89976,2620
86000US11235,"11235",83069,2433
86000US11236,"11236",100082,3175
86000US11237,"11237",47183,2242
86000US11238,"11238",58047,2189
86000US11239,"11239",16808,1347
86000US11249,"11249",45087,2556
86000US11354,"11354",53371,2470
86000US11355,"11355",79495,3670
86000US11356,"11356",27632,2411
86000US11357,"11357",42792,2400
86000US11358,"11358",37647,1832
86000US11359,"11359",0,13
86000US11360,"11360",19719,2032
86000US11361,"11361",29544,1662
86000US11362,"11362",18426,1383
86000US11363,"11363",7365,897
86000US11364,"11364",38124,2509
86000US11365,"11365",46424,3089
86000US11366,"11366",13659,1199
86000US11367,"11367",43286,2553
86000US11368,"11368",112750,4176
86000US11369,"11369",32177,2165
86000US11370,"11370",28164,1827
86000US11371,"11371",0,13
86000US11372,"11372",67001,3622
86000US11373,"11373",102618,4063
86000US11374,"11374",47230,2597
86000US11375,"11375",75212,2813
86000US11377,"11377",86977,3486
86000US11378,"11378",39250,2021
86000US11379,"11379",38261,2216
86000US11385,"11385",105521,3422
86000US11411,"11411",21329,1276
86000US11412,"11412",40593,2216
86000US11413,"11413",44832,2316
86000US11414,"11414",30374,2727
86000US11415,"11415",20315,1678
86000US11416,"11416",27794,1667
86000US11417,"11417",31200,1918
86000US11418,"11418",38317,2602
86000US11419,"11419",48096,2319
86000US11420,"11420",51153,2472
86000US11421,"11421",41552,2428
86000US11422,"11422",32296,2193
86000US11423,"11423",29921,1975
86000US11424,"11424",0,13
86000US11426,"11426",19733,1817
86000US11427,"11427",25187,1980
86000US11428,"11428",19554,1481
86000US11429,"11429",27845,1856
86000US11430,"11430",332,15
86000US11432,"11432",64268,2272
86000US11433,"11433",38865,2665
86000US11434,"11434",68182,2804
86000US11435,"11435",59961,2658
86000US11436,"11436",21349,1382
86000US11439,"11439",2140,62
86000US11451,"11451",0,13
86000US11501,"11501",21434,361
86000US11507,"11507",7111,812
86000US11509,"11509",1682,374
86000US11510,"11510",35070,2100
86000US11514,"11514",5040,681
86000US11516,"11516",8450,604
86000US11518,"11518",10294,566
86000US11520,"11520",44876,411
86000US11530,"11530",28207,696
86000US11542,"11542",29095,349
86000US11545,"11545",12068,954
86000US11547,"11547",585,255
86000US11548,"11548",2230,305
86000US11549,"11549",2508,146
86000US11550,"11550",60668,434
86000US11552,"11552",26043,1801
86000US11553,"11553",27886,2012
86000US11554,"11554",36856,2257
86000US11556,"11556",0,13
86000US11557,"11557",8290,1142
86000US11558,"11558",8660,464
86000US11559,"11559",8732,659
86000US11560,"11560",7043,796
86000US11561,"11561",38755,538
86000US11563,"11563",22055,423
86000US11565,"11565",9013,423
86000US11566,"11566",33976,1455
86000US11568,"11568",4272,141
86000US11569,"11569",1110,327
86000US11570,"11570",28262,591
86000US11572,"11572",29961,1226
86000US11575,"11575",19102,1630
86000US11576,"11576",12506,885
86000US11577,"11577",12399,1212
86000US11579,"11579",5062,28
86000US11580,"11580",43396,2125
86000US11581,"11581",22770,1471
86000US11590,"11590",47951,2257
86000US11596,"11596",10520,418
86000US11598,"11598",14531,1523
86000US11691,"11691",70365,3335
86000US11692,"11692",24584,1866
86000US11693,"11693",13558,1351
86000US11694,"11694",21788,1729
86000US11697,"11697",3946,855
86000US11701,"11701",27874,1618
86000US11702,"11702",14044,766
86000US11703,"11703",17414,1913
86000US11704,"11704",39753,1681
86000US11705,"11705",8409,770
86000US11706,"11706",65437,2983
86000US11709,"11709",6763,22
86000US11710,"11710",34950,2168
86000US11713,"11713",8905,830
86000US11714,"11714",22444,1595
86000US11715,"11715",3786,455
86000US11716,"11716",10074,974
86000US11717,"11717",64969,2882
86000US11718,"11718",3181,18
86000US11719,"11719",3519,504
86000US11720,"11720",29193,1952
86000US11721,"11721",6569,679
86000US11722,"11722",37032,2420
86000US11724,"11724",2874,434
86000US11725,"11725",28735,1552
86000US11726,"11726",22059,2029
86000US11727,"11727",30058,1865
86000US11729,"11729",26608,1499
86000US11730,"11730",14168,1153
86000US11731,"11731",30714,2046
86000US11732,"11732",3546,505
86000US11733,"11733",17304,1300
86000US11735,"11735",32716,1497
86000US11738,"11738",20077,2140
86000US11739,"11739",1400,318
86000US11740,"11740",11010,863
86000US11741,"11741",27632,2008
86000US11742,"11742",13448,1245
86000US11743,"11743",41423,2161
86000US11746,"11746",67663,2010
86000US11747,"11747",19605,1590
86000US11749,"11749",3568,39
86000US11751,"11751",13501,1237
86000US11752,"11752",9164,671
86000US11753,"11753",13087,1255
86000US11754,"11754",18431,1047
86000US11755,"11755",12227,456
86000US11756,"11756",42459,1950
86000US11757,"11757",45082,1452
86000US11758,"11758",54201,2177
86000US11762,"11762",22440,609
86000US11763,"11763",29765,2404
86000US11764,"11764",12711,1555
86000US11765,"11765",708,193
86000US11766,"11766",11476,1034
86000US11767,"11767",14493,1383
86000US11768,"11768",21333,1328
86000US11769,"11769",9081,923
86000US11770,"11770",112,59
86000US11771,"11771",10068,1139
86000US11772,"11772",45345,2185
86000US11776,"11776",24119,1828
86000US11777,"11777",9257,232
86000US11778,"11778",12496,1385
86000US11779,"11779",38654,2169
86000US11780,"11780",15617,1130
86000US11782,"11782",15113,1280
86000US11783,"11783",21916,1310
86000US11784,"11784",25425,1480
86000US11786,"11786",6559,1103
86000US11787,"11787",34408,1639
86000US11788,"11788",17017,1267
86000US11789,"11789",7434,987
86000US11790,"11790",19282,1359
86000US11791,"11791",25631,1495
86000US11792,"11792",8595,1023
86000US11793,"11793",30865,1611
86000US11794,"11794",1425,420
86000US11795,"11795",25650,1790
86000US11796,"11796",3843,532
86000US11797,"11797",9203,901
86000US11798,"11798",18355,1355
86000US11801,"11801",41967,2118
86000US11803,"11803",30298,1497
86000US11804,"11804",4443,590
86000US11901,"11901",32330,1859
86000US11930,"11930",741,188
86000US11931,"11931",0,13
86000US11932,"11932",1032,367
86000US11933,"11933",6975,921
86000US11934,"11934",7778,1018
86000US11935,"11935",2847,437
86000US11937,"11937",21040,1155
86000US11939,"11939",1564,406
86000US11940,"11940",5462,601
86000US11941,"11941",2493,473
86000US11942,"11942",5620,801
86000US11944,"11944",4799,460
86000US11946,"11946",17517,1697
86000US11947,"11947",153,239
86000US11948,"11948",535,270
86000US11949,"11949",13194,1342
86000US11950,"11950",16379,1498
86000US11951,"11951",14969,2178
86000US11952,"11952",5231,907
86000US11953,"11953",13701,1321
86000US11954,"11954",4322,942
86000US11955,"11955",2857,264
86000US11956,"11956",305,119
86000US11957,"11957",1220,257
86000US11958,"11958",893,256
86000US11959,"11959",632,224
86000US11960,"11960",962,263
86000US11961,"11961",13126,1275
86000US11962,"11962",344,156
86000US11963,"11963",8445,1100
86000US11964,"11964",3129,485
86000US11965,"11965",491,318
86000US11967,"11967",26860,2555
86000US11968,"11968",13623,1442
86000US11970,"11970",563,400
86000US11971,"11971",6286,838
86000US11972,"11972",413,255
86000US11973,"11973",39,4
86000US11975,"11975",426,178
86000US11976,"11976",2437,618
86000US11977,"11977",3069,703
86000US11978,"11978",3969,549
86000US11980,"11980",5144,850
86000US12007,"12007",325,187
86000US12008,"12008",427,258
86000US12009,"12009",8322,667
86000US12010,"12010",27213,651
86000US12015,"12015",4135,376
86000US12017,"12017",419,115
86000US12018,"12018",7300,706
86000US12019,"12019",15280,1087
86000US12020,"12020",34571,1022
86000US12022,"12022",1038,261
86000US12023,"12023",2374,391
86000US12024,"12024",83,57
86000US12025,"12025",5260,385
86000US12027,"12027",4244,749
86000US12028,"12028",1082,330
86000US12029,"12029",991,148
86000US12031,"12031",191,94
86000US12032,"12032",737,180
86000US12033,"12033",7640,720
86000US12035,"12035",484,165
86000US12036,"12036",220,118
86000US12037,"12037",4083,541
86000US12040,"12040",28,20
86000US12041,"12041",319,199
86000US12042,"12042",297,160
86000US12043,"12043",7719,445
86000US12045,"12045",467,294
86000US12046,"12046",519,225
86000US12047,"12047",23293,758
86000US12051,"12051",6050,542
86000US12052,"12052",1974,582
86000US12053,"12053",4253,640
86000US12054,"12054",16995,1062
86000US12056,"12056",2029,441
86000US12057,"12057",1997,506
86000US12058,"12058",1163,268
86000US12059,"12059",1417,280
86000US12060,"12060",1813,405
86000US12061,"12061",10179,905
86000US12062,"12062",1662,347
86000US12063,"12063",609,299
86000US12064,"12064",254,121
86000US12065,"12065",44563,1152
86000US12066,"12066",1834,299
86000US12067,"12067",1457,434
86000US12068,"12068",2509,310
86000US12069,"12069",483,332
86000US12070,"12070",2499,582
86000US12071,"12071",217,82
86000US12072,"12072",2992,267
86000US12074,"12074",2956,472
86000US12075,"12075",3159,408
86000US12076,"12076",1271,170
86000US12077,"12077",6752,677
86000US12078,"12078",23144,772
86000US12082,"12082",2,3
86000US12083,"12083",3900,531
86000US12084,"12084",5069,550
86000US12085,"12085",255,92
86000US12086,"12086",1648,389
86000US12087,"12087",1279,376
86000US12090,"12090",5782,456
86000US12092,"12092",1604,326
86000US12093,"12093",1385,229
86000US12094,"12094",2676,654
86000US12095,"12095",12586,613
86000US12106,"12106",2171,291
86000US12108,"12108",408,100
86000US12110,"12110",19744,1169
86000US12115,"12115",95,61
86000US12116,"12116",1351,310
86000US12117,"12117",2716,379
86000US12118,"12118",16557,971
86000US12120,"12120",635,175
86000US12121,"12121",2358,759
86000US12122,"12122",3585,392
86000US12123,"12123",4938,706
86000US12124,"12124",246,189
86000US12125,"12125",1092,197
86000US12130,"12130",431,230
86000US12131,"12131",188,63
86000US12132,"12132",133,95
86000US12134,"12134",4304,392
86000US12136,"12136",790,234
86000US12137,"12137",2035,476
86000US12138,"12138",2922,310
86000US12139,"12139",286,90
86000US12140,"12140",1412,242
86000US12143,"12143",5443,460
86000US12144,"12144",21808,1012
86000US12147,"12147",412,120
86000US12148,"12148",4371,498
86000US12149,"12149",2208,306
86000US12150,"12150",589,206
86000US12151,"12151",871,249
86000US12153,"12153",703,302
86000US12154,"12154",2820,538
86000US12155,"12155",1748,292
86000US12156,"12156",831,322
86000US12157,"12157",4574,415
86000US12158,"12158",6045,618
86000US12159,"12159",8663,896
86000US12160,"12160",834,209
86000US12161,"12161",35,46
86000US12164,"12164",485,73
86000US12165,"12165",198,79
86000US12166,"12166",1505,191
86000US12167,"12167",2414,274
86000US12168,"12168",1749,269
86000US12169,"12169",379,200
86000US12170,"12170",5225,717
86000US12172,"12172",211,155
86000US12173,"12173",2038,278
86000US12174,"12174",588,357
86000US12175,"12175",700,224
86000US12176,"12176",366,183
86000US12177,"12177",455,258
86000US12180,"12180",53807,1413
86000US12182,"12182",14790,1063
86000US12183,"12183",2968,16
86000US12184,"12184",7288,439
86000US12185,"12185",1785,456
86000US12186,"12186",6325,356
86000US12187,"12187",701,282
86000US12188,"12188",11615,599
86000US12189,"12189",18461,907
86000US12190,"12190",641,149
86000US12192,"12192",1496,401
86000US12193,"12193",1674,392
86000US12194,"12194",177,93
86000US12195,"12195",184,171
86000US12196,"12196",3954,630
86000US12197,"12197",1951,423
86000US12198,"12198",7150,734
86000US12202,"12202",9700,1148
86000US12203,"12203",30545,1522
86000US12204,"12204",8728,644
86000US12205,"12205",26436,1215
86000US12206,"12206",14793,1233
86000US12207,"12207",2337,421
86000US12208,"12208",23128,1359
86000US12209,"12209",10427,1136
86000US12210,"12210",9873,1236
86000US12211,"12211",13254,1140
86000US12222,"12222",6358,233
86000US12226,"12226",0,13
86000US12302,"12302",27915,447
86000US12303,"12303",29680,1387
86000US12304,"12304",21901,1656
86000US12305,"12305",6922,815
86000US12306,"12306",27735,1328
86000US12307,"12307",7863,894
86000US12308,"12308",14367,1048
86000US12309,"12309",33332,1173
86000US12401,"12401",35138,848
86000US12404,"12404",3864,583
86000US12405,"12405",550,202
86000US12406,"12406",590,214
86000US12407,"12407",132,67
86000US12409,"12409",958,281
86000US12410,"12410",329,148
86000US12411,"12411",377,175
86000US12412,"12412",537,271
86000US12413,"12413",3144,501
86000US12414,"12414",10065,574
86000US12416,"12416",205,118
86000US12417,"12417",873,301
86000US12418,"12418",294,103
86000US12419,"12419",881,343
86000US12420,"12420",351,306
86000US12421,"12421",224,123
86000US12422,"12422",398,205
86000US12423,"12423",1255,281
86000US12424,"12424",261,93
86000US12427,"12427",1025,388
86000US12428,"12428",7032,420
86000US12429,"12429",153,251
86000US12430,"12430",1341,307
86000US12431,"12431",1845,380
86000US12432,"12432",581,335
86000US12433,"12433",628,279
86000US12434,"12434",984,285
86000US12435,"12435",231,122
86000US12436,"12436",430,242
86000US12438,"12438",48,54
86000US12439,"12439",297,130
86000US12440,"12440",1493,339
86000US12441,"12441",105,93
86000US12442,"12442",648,236
86000US12443,"12443",3582,463
86000US12444,"12444",538,210
86000US12446,"12446",4894,632
86000US12448,"12448",142,101
86000US12449,"12449",3193,472
86000US12450,"12450",221,138
86000US12451,"12451",1044,408
86000US12452,"12452",27,30
86000US12453,"12453",240,282
86000US12454,"12454",456,140
86000US12455,"12455",1810,315
86000US12456,"12456",728,235
86000US12457,"12457",1283,266
86000US12458,"12458",3501,533
86000US12459,"12459",68,54
86000US12460,"12460",215,95
86000US12461,"12461",1371,447
86000US12463,"12463",1341,394
86000US12464,"12464",1093,267
86000US12465,"12465",384,156
86000US12466,"12466",2070,408
86000US12468,"12468",1325,178
86000US12469,"12469",803,260
86000US12470,"12470",778,337
86000US12471,"12471",268,301
86000US12472,"12472",1177,390
86000US12473,"12473",663,265
86000US12474,"12474",856,176
86000US12475,"12475",460,273
86000US12477,"12477",18557,617
86000US12480,"12480",324,145
86000US12481,"12481",1493,558
86000US12482,"12482",550,417
86000US12483,"12483",71,48
86000US12484,"12484",3373,460
86000US12485,"12485",904,344
86000US12486,"12486",1760,562
86000US12487,"12487",3935,584
86000US12489,"12489",154,125
86000US12490,"12490",0,13
86000US12491,"12491",2059,441
86000US12492,"12492",181,70
86000US12493,"12493",324,351
86000US12494,"12494",865,505
86000US12495,"12495",87,60
86000US12496,"12496",1311,226
86000US12498,"12498",4580,350
86000US12501,"12501",2170,417
86000US12502,"12502",1147,276
86000US12503,"12503",787,133
86000US12504,"12504",1152,60
86000US12507,"12507",238,119
86000US12508,"12508",19152,494
86000US12512,"12512",184,139
86000US12513,"12513",154,117
86000US12514,"12514",2980,458
86000US12515,"12515",1567,511
86000US12516,"12516",1859,323
86000US12517,"12517",384,243
86000US12518,"12518",5861,593
86000US12520,"12520",3088,58
86000US12521,"12521",1607,415
86000US12522,"12522",4775,681
86000US12523,"12523",1986,347
86000US12524,"12524",15609,610
86000US12525,"12525",1739,472
86000US12526,"12526",3519,411
86000US12527,"12527",16,26
86000US12528,"12528",13358,689
86000US12529,"12529",2296,320
86000US12530,"12530",283,401
86000US12531,"12531",2590,495
86000US12533,"12533",26249,813
86000US12534,"12534",17792,731
86000US12538,"12538",14066,901
86000US12540,"12540",9297,962
86000US12542,"12542",5490,551
86000US12543,"12543",3135,48
86000US12544,"12544",33,54
86000US12545,"12545",4521,277
86000US12546,"12546",2700,140
86000US12547,"12547",3277,575
86000US12548,"12548",1074,417
86000US12549,"12549",10635,1003
86000US12550,"12550",55404,1048
86000US12553,"12553",27409,880
86000US12561,"12561",18136,547
86000US12563,"12563",7691,709
86000US12564,"12564",7700,451
86000US12565,"12565",1559,374
86000US12566,"12566",12407,758
86000US12567,"12567",2347,207
86000US12569,"12569",9603,553
86000US12570,"12570",6923,675
86000US12571,"12571",9235,340
86000US12572,"12572",9287,431
86000US12574,"12574",293,172
86000US12575,"12575",1584,505
86000US12577,"12577",1552,453
86000US12578,"12578",2125,321
86000US12580,"12580",4556,635
86000US12581,"12581",2041,366
86000US12582,"12582",6168,513
86000US12583,"12583",1832,237
86000US12585,"12585",842,243
86000US12586,"12586",12802,742
86000US12589,"12589",19584,1499
86000US12590,"12590",36816,1022
86000US12592,"12592",1429,392
86000US12594,"12594",4117,580
86000US12601,"12601",43623,1371
86000US12603,"12603",42215,1372
86000US12604,"12604",1978,192
86000US12701,"12701",12448,497
86000US12719,"12719",1132,261
86000US12720,"12720",274,260
86000US12721,"12721",7872,811
86000US12722,"12722",0,13
86000US12723,"12723",1776,600
86000US12724,"12724",78,74
86000US12725,"12725",323,109
86000US12726,"12726",1357,373
86000US12729,"12729",1382,494
86000US12732,"12732",830,278
86000US12733,"12733",1996,293
86000US12734,"12734",1016,432
86000US12736,"12736",122,103
86000US12737,"12737",1625,336
86000US12738,"12738",359,221
86000US12740,"12740",1695,335
86000US12741,"12741",168,95
86000US12742,"12742",194,149
86000US12743,"12743",310,113
86000US12745,"12745",5,7
86000US12746,"12746",600,230
86000US12747,"12747",2026,575
86000US12748,"12748",1751,681
86000US12749,"12749",539,375
86000US12750,"12750",36,31
86000US12751,"12751",1151,300
86000US12752,"12752",302,130
86000US12754,"12754",7800,597
86000US12758,"12758",3857,490
86000US12759,"12759",2145,551
86000US12760,"12760",425,184
86000US12762,"12762",350,245
86000US12763,"12763",470,168
86000US12764,"12764",1713,242
86000US12765,"12765",891,282
86000US12766,"12766",658,259
86000US12767,"12767",225,172
86000US12768,"12768",866,263
86000US12769,"12769",363,208
86000US12770,"12770",180,90
86000US12771,"12771",14454,516
86000US12775,"12775",2474,383
86000US12776,"12776",2072,341
86000US12777,"12777",846,147
86000US12778,"12778",402,255
86000US12779,"12779",2304,639
86000US12780,"12780",2268,432
86000US12781,"12781",202,144
86000US12783,"12783",1409,345
86000US12784,"12784",0,13
86000US12785,"12785",1041,616
86000US12786,"12786",568,266
86000US12787,"12787",97,88
86000US12788,"12788",2841,436
86000US12789,"12789",2336,446
86000US12790,"12790",4226,558
86000US12791,"12791",690,429
86000US12792,"12792",167,101
86000US12801,"12801",14754,24
86000US12803,"12803",8828,509
86000US12804,"12804",27805,321
86000US12808,"12808",201,58
86000US12809,"12809",3612,138
86000US12810,"12810",537,110
86000US12811,"12811",225,133
86000US12812,"12812",349,193
86000US12814,"12814",1135,225
86000US12815,"12815",1099,178
86000US12816,"12816",4626,325
86000US12817,"12817",1951,263
86000US12819,"12819",286,89
86000US12820,"12820",102,89
86000US12821,"12821",2378,159
86000US12822,"12822",6200,356
86000US12823,"12823",502,366
86000US12824,"12824",1088,236
86000US12827,"12827",3673,303
86000US12828,"12828",9590,731
86000US12831,"12831",18318,1124
86000US12832,"12832",6486,424
86000US12833,"12833",5233,508
86000US12834,"12834",6261,459
86000US12835,"12835",2545,245
86000US12836,"12836",461,119
86000US12837,"12837",879,363
86000US12838,"12838",721,232
86000US12839,"12839",13764,383
86000US12841,"12841",95,42
86000US12842,"12842",705,154
86000US12843,"12843",678,153
86000US12844,"12844",293,132
